Product Number,title,author,Total Qty Ordered,price,Discount,Total Amount,age,link,image,,featured
9781426337000,National Geographic Kids Puzzle Book of the World,Kids  National Geographic,1,6.99,0,6.99,LE UE AH RS,https://www.opendoor-bookstore.com/book/9781426337000,./images/book/9781426337000.jpg,,
9781419742309,Everything You Need to Know When You Are 8,Miller  Kirsten,1,12.99,0,12.99,LE UE RS,https://www.opendoor-bookstore.com/book/9781419742309,./images/book/9781419742309.jpg,,
9781419742323,Everything You Need to Know When You Are 9,Miller  Kirsten,1,12.99,0,12.99,LE UE RS,https://www.opendoor-bookstore.com/book/9781419742323,./images/book/9781419742323.jpg,,
9781510757004,Learning STEM from Baseball,Ventura  Marne,1,7.99,0,7.99,LE UE RS,https://www.opendoor-bookstore.com/book/9781510757004,./images/book/9781510757004.jpg,,yes
9781465499332,The Mysteries of the Universe,DK,1,19.99,0,19.99,LE UE RS,https://www.opendoor-bookstore.com/book/9781465499332,./images/book/9781465499332.jpg,,
9780593095614,What Is a Presidential Election?,Yacka  Douglas,1,7.99,0,7.99,LE UE RS,https://www.opendoor-bookstore.com/book/9780593095614,./images/book/9780593095614.jpg,,yes
9781454942900,I Heart Kawaii,Thornton  Harry,1,12.95,0,12.95,LE UE RS AH,https://www.opendoor-bookstore.com/book/9781454942900,./images/book/9781454942900.jpg,,
9780358164746,Crossover Graphic Novel ,Alexander  Kwame,1,12.99,0,12.99,M,https://www.opendoor-bookstore.com/book/9781328575494,./images/book/9781328575494.jpg,,yes
,,,,,,,,,,,
9781646140053,Elatsoe,Little Badger  Darcie,1,18.99,0,18.99,M,https://www.opendoor-bookstore.com/book/9781646140053,./images/book/9781646140053.jpg,,yes
9780593175941,Escape Room,Stoffels  Maren,1,9.99,0,9.99,M,https://www.opendoor-bookstore.com/book/9780593175941,./images/book/9780593175941.jpg,,
,,,,,,,,,,,
9781338338843,Haunt Me,Alexander  K. R.,1,6.99,0,6.99,M,https://www.opendoor-bookstore.com/book/9781338338843,./images/book/9781338338843.jpg,,
9781534421868,Hungry Hearts,Chapman  Elsie,1,11.99,0,11.99,M,https://www.opendoor-bookstore.com/book/9781534421868,./images/book/9781534421868.jpg,,
9781338639933,K-pop Confidential,Lee  Stephan,1,9.99,0,9.99,M,https://www.opendoor-bookstore.com/book/9781338639933,./images/book/9781338639933.jpg,,
9781594746031,Miss Peregrine's Home for Peculiar Children,Riggs  Ransom,1,10.99,0,10.99,M,https://www.opendoor-bookstore.com/book/9781594746031,./images/book/9781594746031.jpg,,
9780525647072,Pet,Emezi  Akwaeke,1,17.99,0,17.99,M,https://www.opendoor-bookstore.com/book/9780525647072,./images/book/9780525647072.jpg,,
9781250180636,Renegades,Meyer  Marissa,1,10.99,0,10.99,M,https://www.opendoor-bookstore.com/book/9781250180636,./images/book/9781250180636.jpg,,
9780316453691,Stamped,Reynolds  Jason,1,18.99,0,18.99,M,https://www.opendoor-bookstore.com/book/9780316453691,./images/book/9780316453691.jpg,LOTS IN STOCK,yes
9781779504210,Superman Smashes the Klan,Yang  Gene Luen,1,16.99,0,16.99,M,https://www.opendoor-bookstore.com/book/9781779504210,./images/book/9781779504210.jpg,,
,,,,,,,,,,,
9781547603114,Watch Us Rise,Watson  Ren̩e,1,10.99,0,10.99,M,https://www.opendoor-bookstore.com/book/9781547603114,./images/book/9781547603114.jpg,,
9780358131434,We Are Not Free,Chee  Traci,1,17.99,0,17.99,M,https://www.opendoor-bookstore.com/book/9780358131434,./images/book/9780358131434.jpg,,
9780763690663,Alphamaniacs,Fleischman  Paul,1,19.99,0,19.99,M RS,https://www.opendoor-bookstore.com/book/9780763690663,./images/book/9780763690663.jpg,,yes
9780593110416,Antiracist Baby,Kendi  Ibram X.,1,8.99,0,8.99,P,https://www.opendoor-bookstore.com/book/9780593110416,./images/book/9780593110416.jpg,,yes
9781492638322,Bedtime for Sweet Creatures,Grimes   Nikki,1,17.99,0,17.99,P,https://www.opendoor-bookstore.com/book/9781492638322,./images/book/9781492638322.jpg,,yes
9781682631454,Bedtime in the Jungle,Butler  John,1,7.95,0,7.95,P,https://www.opendoor-bookstore.com/book/9781682631454,./images/book/9781682631454.jpg,,yes
9780399547645,Bunheads,Copeland  Misty,1,17.99,0,17.99,P,https://www.opendoor-bookstore.com/book/9780399547645,./images/book/9780399547645.jpg,,yes
9780525514510,Butts Are Everywhere,Stutzman  Jonathan,1,16.99,0,16.99,P,https://www.opendoor-bookstore.com/book/9780525514510,./images/book/9780525514510.jpg,,yes
9780525553465,Can I Play Too?,Cotterill  Samantha,1,16.99,0,16.99,P,https://www.opendoor-bookstore.com/book/9780525553465,./images/book/9780525553465.jpg,,
9780063012721,Dear Baby ,Rosenthal  Paris,1,18.99,0,18.99,P,https://www.opendoor-bookstore.com/book/9780063012721,./images/book/9780063012721.jpg,,
9780892394135,Galapagos Girl,Arnold  Marsha Diane,1,19.95,0,19.95,P,https://www.opendoor-bookstore.com/book/9780892394135,./images/book/9780892394135.jpg,,
9781338617993,Grumpycorn,McIntyre  Sarah,1,6.99,0,6.99,P,https://www.opendoor-bookstore.com/book/9781338617993,./images/book/9781338617993.jpg,,
9781728236605,Heroes Wear Masks,Sesame Workshop,1,7.99,0,7.99,P,https://www.opendoor-bookstore.com/book/9781728236605,./images/book/9781728236605.jpg,,
9781682632321,Izzy Gizmo,Jones  Pip,1,8.99,0,8.99,P,https://www.opendoor-bookstore.com/book/9781682632321,./images/book/9781682632321.jpg,,
9781250268204,Labyrinth: The ABC Storybook,Flowers  Luke,1,19.99,0,19.99,P,https://www.opendoor-bookstore.com/book/9781250268204,./images/book/9781250268204.jpg,,
9781773213217,Llamas With Lemonade,Koultourides  Ariana,1,10.99,0,10.99,P,https://www.opendoor-bookstore.com/book/9781773213217,./images/book/9781773213217.jpg,,yes
9781534466197,Looking for Smile,Tarlow  Ellen,1,17.99,0,17.99,P,https://www.opendoor-bookstore.com/book/9781534466197,./images/book/9781534466197.jpg,,
9780735365346,Mindful Baby Board Book Set,Mudpuppy,1,14.99,0,14.99,P,https://www.opendoor-bookstore.com/book/9780735365346,./images/book/9780735365346.jpg,,
9780316266628,The Alphabet's Alphabet,Harris  Chris,1,17.99,0,17.99,P,https://www.opendoor-bookstore.com/book/9780316266628,./images/book/9780316266628.jpg,,
9781452171913,The Bear and the Moon,Burgess  Matthew,1,18.99,0,18.99,P,https://www.opendoor-bookstore.com/book/9781452171913,./images/book/9781452171913.jpg,,
9780316428385,The Office: A Day at Dunder Mifflin Elementary,Pearlman  Robb,1,17.99,0,17.99,P,https://www.opendoor-bookstore.com/book/9780316428385,./images/book/9780316428385.jpg,,
9781951511050,The Yuckiest Alphabet Book in the World,Novak  Margaret,1,12.99,0,12.99,P,https://www.opendoor-bookstore.com/book/9781951511050,./images/book/9781951511050.jpg,,
9781536207019,This Is a Book of Shapes,Kraegel  Kenneth,1,8.99,0,8.99,P,https://www.opendoor-bookstore.com/book/9781536207019,./images/book/9781536207019.jpg,,
9781419742064,This Way  Charlie,Levis  Caron,1,17.99,0,17.99,P,https://www.opendoor-bookstore.com/book/9781419742064,./images/book/9781419742064.jpg,,
9781499810080,Uncle Bobby's Wedding (2020),Brannen  Sarah S.,1,17.99,0,17.99,P,https://www.opendoor-bookstore.com/book/9781499810080,./images/book/9781499810080.jpg,,
9781534453838,Unicorns Are the Worst!,Willan  Alex,1,17.99,0,17.99,P,https://www.opendoor-bookstore.com/book/9781534453838,./images/book/9781534453838.jpg,,
9780593202555,We Are All Equal,Crumble  P.,1,17.99,0,17.99,P,https://www.opendoor-bookstore.com/book/9780593202555,./images/book/9780593202555.jpg,,yes
9781789502503,Search and Find: Dinosaurs,Stamper  Claire,1,9.99,0,9.99,P AH RS,https://www.opendoor-bookstore.com/book/9781789502503,./images/book/9781789502503.jpg,,
9781646860623,A Gift for Amma,Sriram  Meera,1,8.99,0,8.99,P LE,https://www.opendoor-bookstore.com/book/9781646860623,./images/book/9781646860623.jpg,,
9781481449946,And Tango Makes Three,Richardson  Justin,1,9.99,0,9.99,P LE,https://www.opendoor-bookstore.com/book/9781481449946,./images/book/9781481449946.jpg,,
9780358252108,Becoming a Good Creature,Montgomery  Sy,1,17.99,0,17.99,P LE,https://www.opendoor-bookstore.com/book/9780358252108,./images/book/9780358252108.jpg,,yes
9780062499615,Cece Loves Science,Derting  Kimberly,1,7.99,0,7.99,P LE,https://www.opendoor-bookstore.com/book/9780062499615,./images/book/9780062499615.jpg,,
9781554533541,Chester's Masterpiece,Watt  Melanie,1,8.99,0,8.99,P LE,https://www.opendoor-bookstore.com/book/9781554533541,./images/book/9781554533541.jpg,,
9780316562577,Don't Touch My Hair!,Miller  Sharee,1,7.99,0,7.99,P LE,https://www.opendoor-bookstore.com/book/9780316562577,./images/book/9780316562577.jpg,,yes
9780593115350,Grandma's Gardens,Clinton  Hillary Rodham,1,18.99,0,18.99,P LE,https://www.opendoor-bookstore.com/book/9780593115350,./images/book/9780593115350.jpg,,
9781534402317,Harlem Grown: How One Big Idea Transformed a Neig,Hillery  Tony,1,17.99,0,17.99,P LE,https://www.opendoor-bookstore.com/book/9781534402317,./images/book/9781534402317.jpg,,yes
9781849766630,How the Stars Came To Be,Mistry  Poonam,1,17.95,0,17.95,P LE,https://www.opendoor-bookstore.com/book/9781849766630,./images/book/9781849766630.jpg,,
9780525518778,I Am Every Good Thing,Barnes  Derrick,1,17.99,0,17.99,P LE,https://www.opendoor-bookstore.com/book/9780525518778,./images/book/9780525518778.jpg,,
9781452137797,If You Come to Earth,Blackall  Sophie,1,18.99,0,18.99,P LE,https://www.opendoor-bookstore.com/book/9781452137797,./images/book/9781452137797.jpg,,
9781910328644,Last,Davies   Nicola,1,16.99,0,16.99,P LE,https://www.opendoor-bookstore.com/book/9781910328644,./images/book/9781910328644.jpg,,
9781773062365,Loon,Griek  Susan Vande,1,12.95,0,12.95,P LE,https://www.opendoor-bookstore.com/book/9781773062365,./images/book/9781773062365.jpg,,
9781524715502,Lost and Found Cat,Kuntz  Doug,1,7.99,0,7.99,P LE,https://www.opendoor-bookstore.com/book/9781524715502,./images/book/9781524715502.jpg,,
9781984896537,Margaret's Unicorn,Smith  Briony May,1,17.99,0,17.99,P LE,https://www.opendoor-bookstore.com/book/9781984896537,./images/book/9781984896537.jpg,,
9780884485551,Most People,Leannah  Michael,1,9.95,0,9.95,P LE,https://www.opendoor-bookstore.com/book/9780884485551,./images/book/9780884485551.jpg,,
9781772781533,Pencil,Ingalls  Ann,1,12.95,0,12.95,P LE,https://www.opendoor-bookstore.com/book/9781772781533,./images/book/9781772781533.jpg,,
9781771473279,Pierre & Paul: Avalanche!,Adderson  Caroline,1,16.95,0,16.95,P LE,https://www.opendoor-bookstore.com/book/9781771473279,./images/book/9781771473279.jpg,,
9780358423324,Robobaby (signed edition),Wiesner  David,1,17.99,0,17.99,P LE,https://www.opendoor-bookstore.com/book/9780544987319,./images/book/9780544987319.jpg,,yes
9781515872894,Sadiq and the Bridge Builders,Nuurali  Siman,1,6.95,0,6.95,LE,https://www.opendoor-bookstore.com/book/9781515872894,./images/book/9781515872894.jpg,,
9781771646468,Stay  Little Seed,Valentini  Cristiana,1,17.95,0,17.95,P LE,https://www.opendoor-bookstore.com/book/9781771646468,./images/book/9781771646468.jpg,,
9781984813787,The Cat Man of Aleppo,Shamsi-Basha  Karim,1,17.99,0,17.99,P LE,https://www.opendoor-bookstore.com/book/9781984813787,./images/book/9781984813787.jpg,,
9780525555148,The Seed of Compassion,Dalai Lama,1,18.99,0,18.99,P LE,https://www.opendoor-bookstore.com/book/9780525555148,./images/book/9780525555148.jpg,,
9781682632192,The Story Blanket,Wolff   Ferida,1,8.99,0,8.99,P LE,https://www.opendoor-bookstore.com/book/9781682632192,./images/book/9781682632192.jpg,,
9780593115053,The Tiny Chef: And Da Mishing Weshipee Blook,Larsen  Rachel,1,18.99,0,18.99,P LE,https://www.opendoor-bookstore.com/book/9780593115053,./images/book/9780593115053.jpg,,
9781773213880,The Truth About Wind,Hutchins  Hazel,1,18.95,0,18.95,P LE,https://www.opendoor-bookstore.com/book/9781773213880,./images/book/9781773213880.jpg,,
9781481451482,When I Draw a Panda,Bates  Amy June,1,17.99,0,17.99,P LE,https://www.opendoor-bookstore.com/book/9781481451482,./images/book/9781481451482.jpg,,
9780593123843,Wild Symphony,Brown  Dan,1,18.99,0,18.99,P LE,https://www.opendoor-bookstore.com/book/9780593123843,./images/book/9780593123843.jpg,,
9781536217476,Will You Be My Friend?,McBratney  Sam,1,17.99,0,17.99,P LE,https://www.opendoor-bookstore.com/book/9781536217476,./images/book/9781536217476.jpg,,
9781419746772,Feathered Serpent and the Five Suns,Tonatiuh  Duncan,1,16.99,0,16.99,P LE ,https://www.opendoor-bookstore.com/book/9781419746772,./images/book/9781419746772.jpg,,
9780823444366,No Kimchi For Me!,Kim  Aram,1,8.99,0,8.99,P LE ,https://www.opendoor-bookstore.com/book/9780823444366,./images/book/9780823444366.jpg,,
9781426338113,National Geographic Kids Cats and Dogs Super Stic,Kids  National Geographic,1,12.99,0,12.99,AH,https://www.opendoor-bookstore.com/book/9781426338113,./images/book/9781426338113.jpg,,
9781635863192,Roaring  Rumbling Tattoo Dinosaurs,Gregory  Aaron John,1,7.95,0,7.95,AH,https://www.opendoor-bookstore.com/book/9781635863192,./images/book/9781635863192.jpg,,
9781523502950,Paint by Sticker Kids: Beautiful Bugs,Workman Publishing,1,9.95,0,9.95,AH,https://www.opendoor-bookstore.com/book/9781523502950,./images/book/9781523502950.jpg,,
9780500652299,The Big Sticker Book of Blooms,Zommer  Yuval,1,14.95,0,14.95,AH,https://www.opendoor-bookstore.com/book/9780500652299,./images/book/9780500652299.jpg,,
9781782858331,Let's Celebrate!: Special Days Around the World,Depalma  Kate,1,16.99,0,16.99,P LE RS,https://www.opendoor-bookstore.com/book/9781782858331,./images/book/9781782858331.jpg,,yes
9781465490865,Sticker Encyclopedia Animals,DK,1,12.99,0,12.99, AH,https://www.opendoor-bookstore.com/book/9781465490865,./images/book/9781465490865.jpg,,
9780525645931,The Bug Girl,Spencer  Sophia,1,17.99,0,17.99,P LE RS AH,https://www.opendoor-bookstore.com/book/9780525645931,./images/book/9780525645931.jpg,,
9781523506880,Welcome to Jazz,Sloan  Carolyn,1,24.95,0,24.95,P LE RS AH,https://www.opendoor-bookstore.com/book/9781523506880,./images/book/9781523506880.jpg,,
9781782853275,Mindful Kids: 50 Mindfulness Activities for Kindn,Stewart  Whitney,1,14.99,0,14.99,P LE UE AH RS,https://www.opendoor-bookstore.com/book/9781782853275,./images/book/9781782853275.jpg,,yes
9781616898984,Inventive Animals,Sourdais  Clementine,1,7.99,0,7.99,P LE UE RS ,https://www.opendoor-bookstore.com/book/9781616898984,./images/book/9781616898984.jpg,,
